time,received,sent
2022-06-28 08:52:08,0,0
2022-06-28 08:52:07,0,0
2022-06-28 08:52:06,0,0
2022-06-28 08:52:05,0,0
2022-06-28 08:52:04,0,0
2022-06-28 08:52:03,0,0
2022-06-28 08:52:02,0,0
2022-06-28 08:52:01,0,0
2022-06-28 08:52:00,0,0
2022-06-28 08:51:59,0,0
2022-06-28 08:51:58,0,0
2022-06-28 08:51:57,0,0
2022-06-28 08:51:56,0,0
2022-06-28 08:51:55,0,0
2022-06-28 08:51:54,0,0
2022-06-28 08:51:53,0,0
2022-06-28 08:51:52,0,0
2022-06-28 08:51:51,0,0
2022-06-28 08:51:50,0,0
2022-06-28 08:51:49,0,0
2022-06-28 08:51:48,0,0
2022-06-28 08:51:47,0,0
2022-06-28 08:51:46,0,0
2022-06-28 08:51:45,0,0
2022-06-28 08:51:44,0,0
2022-06-28 08:51:43,0,0
2022-06-28 08:51:42,0,0
2022-06-28 08:51:41,0,0
2022-06-28 08:51:40,0,0
2022-06-28 08:51:39,0,0
2022-06-28 08:51:38,0,0
2022-06-28 08:51:37,0,0
2022-06-28 08:51:36,0,0
2022-06-28 08:51:35,0,0
2022-06-28 08:51:34,0,0
2022-06-28 08:51:33,0,0
2022-06-28 08:51:32,0,0
2022-06-28 08:51:31,0,0
2022-06-28 08:51:30,0,0
2022-06-28 08:51:29,0,0
2022-06-28 08:51:28,0.244005,-0.4191881
2022-06-28 08:51:27,0.379995,-0.6528119
2022-06-28 08:51:26,0,0
2022-06-28 08:51:25,0,0
2022-06-28 08:51:24,0,0
2022-06-28 08:51:23,0,0
2022-06-28 08:51:22,0,0
2022-06-28 08:51:21,0,0
2022-06-28 08:51:20,0,0
2022-06-28 08:51:19,0,0
2022-06-28 08:51:18,0,0
2022-06-28 08:51:17,0,0
2022-06-28 08:51:16,0,0
2022-06-28 08:51:15,0,0
2022-06-28 08:51:14,0,0
2022-06-28 08:51:13,0,0
2022-06-28 08:51:12,0,0
2022-06-28 08:51:11,0,0
2022-06-28 08:51:10,0,0
2022-06-28 08:51:09,0,0
2022-06-28 08:51:08,0,0
2022-06-28 08:51:07,0,0
2022-06-28 08:51:06,0,0
2022-06-28 08:51:05,0,0
2022-06-28 08:51:04,0,0
2022-06-28 08:51:03,0,0
2022-06-28 08:51:02,0,0
2022-06-28 08:51:01,0.9715715,-1.0213957
2022-06-28 08:51:00,1.5244285,-1.6026043
2022-06-28 08:50:59,0,0
2022-06-28 08:50:58,0,0
2022-06-28 08:50:57,0,0
2022-06-28 08:50:56,0,0
2022-06-28 08:50:55,0,0
2022-06-28 08:50:54,0,0
2022-06-28 08:50:53,0,0
2022-06-28 08:50:52,0,0
2022-06-28 08:50:51,0,0
2022-06-28 08:50:50,0,0
2022-06-28 08:50:49,0,0
2022-06-28 08:50:48,0,0
2022-06-28 08:50:47,0,0
2022-06-28 08:50:46,0,0
2022-06-28 08:50:45,0,0
2022-06-28 08:50:44,0.2439584,-0.4191081
2022-06-28 08:50:43,0.3800416,-0.6528919
2022-06-28 08:50:42,0,0
2022-06-28 08:50:41,0,0
2022-06-28 08:50:40,0,0
2022-06-28 08:50:39,0,0
2022-06-28 08:50:38,0,0
2022-06-28 08:50:37,0,0
2022-06-28 08:50:36,0,0
2022-06-28 08:50:35,0,0
2022-06-28 08:50:34,0,0
2022-06-28 08:50:33,0,0
2022-06-28 08:50:32,0,0
2022-06-28 08:50:31,0,0
2022-06-28 08:50:30,0,0
2022-06-28 08:50:29,0,0
2022-06-28 08:50:28,0,0
2022-06-28 08:50:27,0,0
2022-06-28 08:50:26,0,0
2022-06-28 08:50:25,0,0
2022-06-28 08:50:24,0,0
2022-06-28 08:50:23,0,0
2022-06-28 08:50:22,0,0
2022-06-28 08:50:21,0,0
2022-06-28 08:50:20,0,0
2022-06-28 08:50:19,0,0
2022-06-28 08:50:18,0,0
2022-06-28 08:50:17,0,0
2022-06-28 08:50:16,0,0
2022-06-28 08:50:15,0,0
2022-06-28 08:50:14,0,0
2022-06-28 08:50:13,0,0
2022-06-28 08:50:12,0,0
2022-06-28 08:50:11,0,0
2022-06-28 08:50:10,0,0
2022-06-28 08:50:09,0,0
2022-06-28 08:50:08,0,0
2022-06-28 08:50:07,0,0
2022-06-28 08:50:06,0,0
2022-06-28 08:50:05,0,0
2022-06-28 08:50:04,0,0
2022-06-28 08:50:03,0,0
2022-06-28 08:50:02,0,0
2022-06-28 08:50:01,0,0
2022-06-28 08:50:00,0,0
2022-06-28 08:49:59,0.2439867,-0.4191566
2022-06-28 08:49:58,0.3800133,-0.6528434
2022-06-28 08:49:57,0,0
2022-06-28 08:49:56,0,0
2022-06-28 08:49:55,0,0
2022-06-28 08:49:54,0,0
2022-06-28 08:49:53,0,0
2022-06-28 08:49:52,0,0
2022-06-28 08:49:51,0,0
2022-06-28 08:49:50,0,0
2022-06-28 08:49:49,0,0
2022-06-28 08:49:48,0,0
2022-06-28 08:49:47,0,0
2022-06-28 08:49:46,0,0
2022-06-28 08:49:45,0,0
2022-06-28 08:49:44,0,0
2022-06-28 08:49:43,0,0
2022-06-28 08:49:42,0.971451,-1.0150417
2022-06-28 08:49:41,1.524549,-1.5929583
2022-06-28 08:49:40,0,0
2022-06-28 08:49:39,0,0
2022-06-28 08:49:38,0,0
2022-06-28 08:49:37,0,0
2022-06-28 08:49:36,0,0
2022-06-28 08:49:35,0,0
2022-06-28 08:49:34,0,0
2022-06-28 08:49:33,0,0
2022-06-28 08:49:32,0,0
2022-06-28 08:49:31,0,0
2022-06-28 08:49:30,0,0
2022-06-28 08:49:29,0,0
2022-06-28 08:49:28,0,0
2022-06-28 08:49:27,0,0
2022-06-28 08:49:26,0,0
2022-06-28 08:49:25,0,0
2022-06-28 08:49:24,0,0
2022-06-28 08:49:23,0,0
2022-06-28 08:49:22,0,0
2022-06-28 08:49:21,0,0
2022-06-28 08:49:20,0,0
2022-06-28 08:49:19,0,0
2022-06-28 08:49:18,0,0
2022-06-28 08:49:17,0,0
2022-06-28 08:49:16,0,0
2022-06-28 08:49:15,0,0
2022-06-28 08:49:14,0,0
2022-06-28 08:49:13,0.2430002,-0.4174619
2022-06-28 08:49:12,0.3809998,-0.6545381
2022-06-28 08:49:11,0,0
2022-06-28 08:49:10,0,0
2022-06-28 08:49:09,0,0
2022-06-28 08:49:08,0,0
2022-06-28 08:49:07,0,0
2022-06-28 08:49:06,0,0
2022-06-28 08:49:05,0,0
2022-06-28 08:49:04,0,0
2022-06-28 08:49:03,0,0
2022-06-28 08:49:02,0,0
2022-06-28 08:49:01,0,0
2022-06-28 08:49:00,0,0
2022-06-28 08:48:59,0,0
2022-06-28 08:48:58,0,0
2022-06-28 08:48:57,0,0
2022-06-28 08:48:56,0,0
2022-06-28 08:48:55,0,0
2022-06-28 08:48:54,0,0
2022-06-28 08:48:53,0,0
2022-06-28 08:48:52,0,0
2022-06-28 08:48:51,0,0
2022-06-28 08:48:50,0,0
2022-06-28 08:48:49,0,0
2022-06-28 08:48:48,0,0
2022-06-28 08:48:47,0,0
2022-06-28 08:48:46,0,0
2022-06-28 08:48:45,0,0
2022-06-28 08:48:44,0,0
2022-06-28 08:48:43,0,0
2022-06-28 08:48:42,0,0
2022-06-28 08:48:41,0,0
2022-06-28 08:48:40,0.9759007,-1.0259469
2022-06-28 08:48:39,1.5200993,-1.5980531
2022-06-28 08:48:38,0,0
2022-06-28 08:48:37,0,0
2022-06-28 08:48:36,0,0
2022-06-28 08:48:35,0,0
2022-06-28 08:48:34,0,0
2022-06-28 08:48:33,0,0
2022-06-28 08:48:32,0,0
2022-06-28 08:48:31,0,0
2022-06-28 08:48:30,0,0
2022-06-28 08:48:29,0.2439629,-0.4191158
2022-06-28 08:48:28,0.3800371,-0.6528842
2022-06-28 08:48:27,0,0
2022-06-28 08:48:26,0,0
2022-06-28 08:48:25,0,0
2022-06-28 08:48:24,0,0
2022-06-28 08:48:23,0,0
2022-06-28 08:48:22,0,0
2022-06-28 08:48:21,0,0
2022-06-28 08:48:20,0,0
2022-06-28 08:48:19,0,0
2022-06-28 08:48:18,0,0
2022-06-28 08:48:17,0,0
2022-06-28 08:48:16,0,0
2022-06-28 08:48:15,0,0
2022-06-28 08:48:14,0,0
2022-06-28 08:48:13,0,0
2022-06-28 08:48:12,0,0
2022-06-28 08:48:11,0,0
2022-06-28 08:48:10,0,0
2022-06-28 08:48:09,0,0
2022-06-28 08:48:08,0,0
2022-06-28 08:48:07,0,0
2022-06-28 08:48:06,0,0
2022-06-28 08:48:05,0,0
2022-06-28 08:48:04,0,0
2022-06-28 08:48:03,0,0
2022-06-28 08:48:02,0,0
2022-06-28 08:48:01,0,0
2022-06-28 08:48:00,0,0
2022-06-28 08:47:59,0,0
2022-06-28 08:47:58,0,0
2022-06-28 08:47:57,0,0
2022-06-28 08:47:56,0,0
2022-06-28 08:47:55,0,0
2022-06-28 08:47:54,0,0
2022-06-28 08:47:53,0,0
2022-06-28 08:47:52,0,0
2022-06-28 08:47:51,0,0
2022-06-28 08:47:50,0,0
2022-06-28 08:47:49,0,0
2022-06-28 08:47:48,0,0
2022-06-28 08:47:47,0,0
2022-06-28 08:47:46,0,0
2022-06-28 08:47:45,0,0
2022-06-28 08:47:44,0.2437501,-0.4187503
2022-06-28 08:47:43,0.3802499,-0.6532497
2022-06-28 08:47:42,0,0
2022-06-28 08:47:41,0,0
2022-06-28 08:47:40,0,0
2022-06-28 08:47:39,0,0
2022-06-28 08:47:38,0,0
2022-06-28 08:47:37,0,0
2022-06-28 08:47:36,0,0
2022-06-28 08:47:35,0,0
2022-06-28 08:47:34,0,0
2022-06-28 08:47:33,0,0
2022-06-28 08:47:32,0,0
2022-06-28 08:47:31,0,0
2022-06-28 08:47:30,0,0
2022-06-28 08:47:29,0,0
2022-06-28 08:47:28,0,0
2022-06-28 08:47:27,0,0
2022-06-28 08:47:26,0,0
2022-06-28 08:47:25,0,0
2022-06-28 08:47:24,0,0
2022-06-28 08:47:23,0,0
2022-06-28 08:47:22,0,0
2022-06-28 08:47:21,0,0
2022-06-28 08:47:20,0,0
2022-06-28 08:47:19,0,0
2022-06-28 08:47:18,0,0
2022-06-28 08:47:17,0,0
2022-06-28 08:47:16,0,0
2022-06-28 08:47:15,0,0
2022-06-28 08:47:14,0,0
2022-06-28 08:47:13,0,0
2022-06-28 08:47:12,0,0
2022-06-28 08:47:11,0.9759977,-1.0197924
2022-06-28 08:47:10,1.5200023,-1.5882076
2022-06-28 08:47:09,0,0
2022-06-28 08:47:08,0,0
2022-06-28 08:47:07,0,0
2022-06-28 08:47:06,0,0
2022-06-28 08:47:05,0,0
2022-06-28 08:47:04,0,0
2022-06-28 08:47:03,0,0
2022-06-28 08:47:02,0,0
2022-06-28 08:47:01,0,0
2022-06-28 08:47:00,0,0
2022-06-28 08:46:59,0,0
2022-06-28 08:46:58,0.2439657,-0.4191205
2022-06-28 08:46:57,0.3800343,-0.6528795
2022-06-28 08:46:56,0,0
2022-06-28 08:46:55,0,0
2022-06-28 08:46:54,0,0
2022-06-28 08:46:53,0,0
2022-06-28 08:46:52,0,0
2022-06-28 08:46:51,0,0
2022-06-28 08:46:50,0,0
2022-06-28 08:46:49,0,0
2022-06-28 08:46:48,0,0
2022-06-28 08:46:47,0,0
2022-06-28 08:46:46,0,0
2022-06-28 08:46:45,0,0
2022-06-28 08:46:44,0,0
2022-06-28 08:46:43,0,0
2022-06-28 08:46:42,0,0
2022-06-28 08:46:41,0,0
2022-06-28 08:46:40,0,0
2022-06-28 08:46:39,0,0
2022-06-28 08:46:38,0,0
2022-06-28 08:46:37,0,0
2022-06-28 08:46:36,0,0
2022-06-28 08:46:35,0,0
2022-06-28 08:46:34,0.9759533,-1.0260022
2022-06-28 08:46:33,1.5200467,-1.5979978
2022-06-28 08:46:32,0,0
2022-06-28 08:46:31,0,0
2022-06-28 08:46:30,0,0
2022-06-28 08:46:29,0,0
2022-06-28 08:46:28,0,0
2022-06-28 08:46:27,0,0
2022-06-28 08:46:26,0,0
2022-06-28 08:46:25,0,0
2022-06-28 08:46:24,0,0
2022-06-28 08:46:23,0,0
2022-06-28 08:46:22,0,0
2022-06-28 08:46:21,0,0
2022-06-28 08:46:20,0,0
2022-06-28 08:46:19,0,0
2022-06-28 08:46:18,0,0
2022-06-28 08:46:17,0,0
2022-06-28 08:46:16,0,0
2022-06-28 08:46:15,0,0
2022-06-28 08:46:14,0.2439953,-0.4191714
2022-06-28 08:46:13,0.3800047,-0.6528286
2022-06-28 08:46:12,0,0
2022-06-28 08:46:11,0,0
2022-06-28 08:46:10,0,0
2022-06-28 08:46:09,0,0
2022-06-28 08:46:08,0,0
2022-06-28 08:46:07,0,0
2022-06-28 08:46:06,0,0
2022-06-28 08:46:05,0,0
2022-06-28 08:46:04,0,0
2022-06-28 08:46:03,0,0
2022-06-28 08:46:02,0,0
2022-06-28 08:46:01,0,0
2022-06-28 08:46:00,0,0
2022-06-28 08:45:59,0,0
2022-06-28 08:45:58,0,0
2022-06-28 08:45:57,0,0
2022-06-28 08:45:56,0,0
2022-06-28 08:45:55,0,0
2022-06-28 08:45:54,0,0
2022-06-28 08:45:53,0,0
2022-06-28 08:45:52,0,0
2022-06-28 08:45:51,0,0
2022-06-28 08:45:50,0,0
2022-06-28 08:45:49,0,0
2022-06-28 08:45:48,0,0
2022-06-28 08:45:47,0,0
2022-06-28 08:45:46,0,0
2022-06-28 08:45:45,0,0
2022-06-28 08:45:44,0,0
2022-06-28 08:45:43,0,0
2022-06-28 08:45:42,0,0
2022-06-28 08:45:41,0,0
2022-06-28 08:45:40,0,0
2022-06-28 08:45:39,0,0
2022-06-28 08:45:38,0,0
2022-06-28 08:45:37,0,0
2022-06-28 08:45:36,0,0
2022-06-28 08:45:35,0,0
2022-06-28 08:45:34,0,0
2022-06-28 08:45:33,0,0
2022-06-28 08:45:32,0,0
2022-06-28 08:45:31,0,0
2022-06-28 08:45:30,0,0
2022-06-28 08:45:29,0,0
2022-06-28 08:45:28,0.2432821,-0.4179462
2022-06-28 08:45:27,0.3807179,-0.6540538
2022-06-28 08:45:26,0,0
2022-06-28 08:45:25,0,0
2022-06-28 08:45:24,0,0
2022-06-28 08:45:23,0,0
2022-06-28 08:45:22,0,0
2022-06-28 08:45:21,0,0
2022-06-28 08:45:20,0,0
2022-06-28 08:45:19,0,0
2022-06-28 08:45:18,0,0
2022-06-28 08:45:17,0,0
2022-06-28 08:45:16,0,0
2022-06-28 08:45:15,0,0
2022-06-28 08:45:14,0,0
2022-06-28 08:45:13,0,0
2022-06-28 08:45:12,0,0
2022-06-28 08:45:11,0,0
2022-06-28 08:45:10,0,0
2022-06-28 08:45:09,0,0
2022-06-28 08:45:08,0,0
2022-06-28 08:45:07,0,0
2022-06-28 08:45:06,0,0
2022-06-28 08:45:05,0,0
2022-06-28 08:45:04,0,0
2022-06-28 08:45:03,0,0
2022-06-28 08:45:02,0,0
2022-06-28 08:45:01,0,0
2022-06-28 08:45:00,0,0
2022-06-28 08:44:59,0,0
2022-06-28 08:44:58,0,0
2022-06-28 08:44:57,0,0
2022-06-28 08:44:56,0,0
2022-06-28 08:44:55,0,0
2022-06-28 08:44:54,0,0
2022-06-28 08:44:53,0,0
2022-06-28 08:44:52,0,0
2022-06-28 08:44:51,0,0
2022-06-28 08:44:50,0,0
2022-06-28 08:44:49,0,0
2022-06-28 08:44:48,0,0
2022-06-28 08:44:47,0,0
2022-06-28 08:44:46,0,0
2022-06-28 08:44:45,0,0
2022-06-28 08:44:44,0.243972,-0.4191313
2022-06-28 08:44:43,0.380028,-0.6528687
2022-06-28 08:44:42,0,0
2022-06-28 08:44:41,0,0
2022-06-28 08:44:40,0.9683642,-1.0118164
2022-06-28 08:44:39,1.5276358,-1.5961836
2022-06-28 08:44:38,0,0
2022-06-28 08:44:37,0,0
2022-06-28 08:44:36,0,0
2022-06-28 08:44:35,0,0
2022-06-28 08:44:34,0,0
2022-06-28 08:44:33,0,0
2022-06-28 08:44:32,0,0
2022-06-28 08:44:31,0,0
2022-06-28 08:44:30,0,0
2022-06-28 08:44:29,0,0
2022-06-28 08:44:28,0,0
2022-06-28 08:44:27,0,0
2022-06-28 08:44:26,0,0
2022-06-28 08:44:25,0,0
2022-06-28 08:44:24,0,0
2022-06-28 08:44:23,0,0
2022-06-28 08:44:22,0,0
2022-06-28 08:44:21,0,0
2022-06-28 08:44:20,0,0
2022-06-28 08:44:19,0,0
2022-06-28 08:44:18,0,0
2022-06-28 08:44:17,0,0
2022-06-28 08:44:16,0,0
2022-06-28 08:44:15,0,0
2022-06-28 08:44:14,0,0
2022-06-28 08:44:13,0,0
2022-06-28 08:44:12,0,0
2022-06-28 08:44:11,0,0
2022-06-28 08:44:10,0,0
2022-06-28 08:44:09,0,0
2022-06-28 08:44:08,0.9759107,-1.0259574
2022-06-28 08:44:07,1.5200893,-1.5980426
2022-06-28 08:44:06,0,0
2022-06-28 08:44:05,0,0
2022-06-28 08:44:04,0,0
2022-06-28 08:44:03,0,0
2022-06-28 08:44:02,0,0
2022-06-28 08:44:01,0,0
2022-06-28 08:44:00,0,0
2022-06-28 08:43:59,0.2439456,-0.419086
2022-06-28 08:43:58,0.3800544,-0.652914
2022-06-28 08:43:57,0,0
2022-06-28 08:43:56,0,0
2022-06-28 08:43:55,0,0
2022-06-28 08:43:54,0,0
2022-06-28 08:43:53,0,0
2022-06-28 08:43:52,0,0
2022-06-28 08:43:51,0,0
2022-06-28 08:43:50,0,0
2022-06-28 08:43:49,0,0
2022-06-28 08:43:48,0,0
2022-06-28 08:43:47,0,0
2022-06-28 08:43:46,0,0
2022-06-28 08:43:45,0,0
2022-06-28 08:43:44,0,0
2022-06-28 08:43:43,0,0
2022-06-28 08:43:42,0,0
2022-06-28 08:43:41,0,0
2022-06-28 08:43:40,0,0
2022-06-28 08:43:39,0,0
2022-06-28 08:43:38,0,0
2022-06-28 08:43:37,0,0
2022-06-28 08:43:36,0,0
2022-06-28 08:43:35,0,0
2022-06-28 08:43:34,0,0
2022-06-28 08:43:33,0,0
2022-06-28 08:43:32,0,0
2022-06-28 08:43:31,0,0
2022-06-28 08:43:30,0,0
2022-06-28 08:43:29,0,0
2022-06-28 08:43:28,0,0
2022-06-28 08:43:27,0,0
2022-06-28 08:43:26,0,0
2022-06-28 08:43:25,0,0
2022-06-28 08:43:24,0,0
2022-06-28 08:43:23,0,0
2022-06-28 08:43:22,0,0
2022-06-28 08:43:21,0,0
2022-06-28 08:43:20,0,0
2022-06-28 08:43:19,0,0
2022-06-28 08:43:18,0,0
2022-06-28 08:43:17,0,0
2022-06-28 08:43:16,0,0
2022-06-28 08:43:15,0,0
2022-06-28 08:43:14,0,0
2022-06-28 08:43:13,0.2421408,-0.4159855
2022-06-28 08:43:12,0.3818592,-0.6560145
2022-06-28 08:43:11,0,0
2022-06-28 08:43:10,0,0
2022-06-28 08:43:09,0,0
2022-06-28 08:43:08,0,0
2022-06-28 08:43:07,0,0
2022-06-28 08:43:06,0,0
2022-06-28 08:43:05,0,0
2022-06-28 08:43:04,0,0
2022-06-28 08:43:03,0,0
2022-06-28 08:43:02,0,0
2022-06-28 08:43:01,0,0
2022-06-28 08:43:00,0,0
2022-06-28 08:42:59,0,0
2022-06-28 08:42:58,0,0
2022-06-28 08:42:57,0,0
2022-06-28 08:42:56,0,0
2022-06-28 08:42:55,0,0
2022-06-28 08:42:54,0,0
2022-06-28 08:42:53,0,0
2022-06-28 08:42:52,0,0
2022-06-28 08:42:51,0,0
2022-06-28 08:42:50,0,0
2022-06-28 08:42:49,0,0
2022-06-28 08:42:48,0,0
2022-06-28 08:42:47,0,0
2022-06-28 08:42:46,0,0
2022-06-28 08:42:45,0,0
2022-06-28 08:42:44,0,0
2022-06-28 08:42:43,0,0
2022-06-28 08:42:42,0,0
2022-06-28 08:42:41,0,0
2022-06-28 08:42:40,0,0
2022-06-28 08:42:39,0,0
2022-06-28 08:42:38,0,0
2022-06-28 08:42:37,0,0
2022-06-28 08:42:36,0,0
2022-06-28 08:42:35,0,0
2022-06-28 08:42:34,0,0
2022-06-28 08:42:33,0,0
2022-06-28 08:42:32,0,0
2022-06-28 08:42:31,0,0
2022-06-28 08:42:30,0,0
2022-06-28 08:42:29,0.2439812,-0.4191473
2022-06-28 08:42:28,0.3800188,-0.6528527
2022-06-28 08:42:27,0,0
2022-06-28 08:42:26,0,0
2022-06-28 08:42:25,0,0
2022-06-28 08:42:24,0,0
2022-06-28 08:42:23,0,0
2022-06-28 08:42:22,0,0
2022-06-28 08:42:21,0,0
2022-06-28 08:42:20,0,0
2022-06-28 08:42:19,0,0
2022-06-28 08:42:18,0,0
2022-06-28 08:42:17,0,0
2022-06-28 08:42:16,0,0
2022-06-28 08:42:15,0,0
2022-06-28 08:42:14,0,0
2022-06-28 08:42:13,0,0
2022-06-28 08:42:12,0,0
2022-06-28 08:42:11,0.9759432,-1.0197355
2022-06-28 08:42:10,1.5200568,-1.5882645
2022-06-28 08:42:09,0,0
2022-06-28 08:42:08,0,0
2022-06-28 08:42:07,0,0
2022-06-28 08:42:06,0,0
2022-06-28 08:42:05,0,0
2022-06-28 08:42:04,0,0
2022-06-28 08:42:03,0,0
2022-06-28 08:42:02,0,0
2022-06-28 08:42:01,0,0
2022-06-28 08:42:00,0,0
2022-06-28 08:41:59,0,0
2022-06-28 08:41:58,0,0
2022-06-28 08:41:57,0,0
2022-06-28 08:41:56,0,0
2022-06-28 08:41:55,0,0
2022-06-28 08:41:54,0,0
2022-06-28 08:41:53,0,0
2022-06-28 08:41:52,0,0
2022-06-28 08:41:51,0,0
2022-06-28 08:41:50,0.9759769,-1.026027
2022-06-28 08:41:49,1.5200231,-1.597973
2022-06-28 08:41:48,0,0
2022-06-28 08:41:47,0,0
2022-06-28 08:41:46,0,0
2022-06-28 08:41:45,0,0
2022-06-28 08:41:44,0.2431912,-0.41779
2022-06-28 08:41:43,0.3808088,-0.65421
2022-06-28 08:41:42,0,0
2022-06-28 08:41:41,0,0
2022-06-28 08:41:40,0,0
2022-06-28 08:41:39,0,0
2022-06-28 08:41:38,0,0
2022-06-28 08:41:37,0,0
2022-06-28 08:41:36,0,0
2022-06-28 08:41:35,0,0
2022-06-28 08:41:34,0,0
2022-06-28 08:41:33,0,0
2022-06-28 08:41:32,0,0
2022-06-28 08:41:31,0,0
2022-06-28 08:41:30,0,0
2022-06-28 08:41:29,0,0
2022-06-28 08:41:28,0,0
2022-06-28 08:41:27,0,0
2022-06-28 08:41:26,0,0
2022-06-28 08:41:25,0,0
2022-06-28 08:41:24,0,0
2022-06-28 08:41:23,0,0
2022-06-28 08:41:22,0,0
2022-06-28 08:41:21,0,0
2022-06-28 08:41:20,0,0
2022-06-28 08:41:19,0,0
2022-06-28 08:41:18,0,0
2022-06-28 08:41:17,0,0
2022-06-28 08:41:16,0,0
2022-06-28 08:41:15,0,0
2022-06-28 08:41:14,0,0
2022-06-28 08:41:13,0,0
2022-06-28 08:41:12,0,0
2022-06-28 08:41:11,0,0
2022-06-28 08:41:10,0,0
2022-06-28 08:41:09,0,0
2022-06-28 08:41:08,0,0
2022-06-28 08:41:07,0,0
2022-06-28 08:41:06,0,0
2022-06-28 08:41:05,0,0
2022-06-28 08:41:04,0,0
2022-06-28 08:41:03,0,0
2022-06-28 08:41:02,0,0
2022-06-28 08:41:01,0,0
2022-06-28 08:41:00,0,0
2022-06-28 08:40:59,0,0
2022-06-28 08:40:58,0.2439555,-0.419103
2022-06-28 08:40:57,0.3800445,-0.652897
2022-06-28 08:40:56,0,0
2022-06-28 08:40:55,0,0
2022-06-28 08:40:54,0,0
2022-06-28 08:40:53,0,0
2022-06-28 08:40:52,0,0
2022-06-28 08:40:51,0,0
2022-06-28 08:40:50,0,0
2022-06-28 08:40:49,0,0
2022-06-28 08:40:48,0,0
2022-06-28 08:40:47,0,0
2022-06-28 08:40:46,0,0
2022-06-28 08:40:45,0,0
2022-06-28 08:40:44,0,0
2022-06-28 08:40:43,0,0
2022-06-28 08:40:42,0,0
2022-06-28 08:40:41,0,0
2022-06-28 08:40:40,0,0
2022-06-28 08:40:39,0,0
2022-06-28 08:40:38,0,0
2022-06-28 08:40:37,0,0
2022-06-28 08:40:36,0,0
2022-06-28 08:40:35,0,0
2022-06-28 08:40:34,0,0
2022-06-28 08:40:33,0,0
2022-06-28 08:40:32,0,0
2022-06-28 08:40:31,0,0
2022-06-28 08:40:30,0,0
2022-06-28 08:40:29,0,0
2022-06-28 08:40:28,0,0
2022-06-28 08:40:27,0,0
2022-06-28 08:40:26,0,0
2022-06-28 08:40:25,0,0
2022-06-28 08:40:24,0,0
2022-06-28 08:40:23,0,0
2022-06-28 08:40:22,0,0
2022-06-28 08:40:21,0,0
2022-06-28 08:40:20,0,0
2022-06-28 08:40:19,0,0
2022-06-28 08:40:18,0,0
2022-06-28 08:40:17,0,0
2022-06-28 08:40:16,0,0
2022-06-28 08:40:15,0,0
2022-06-28 08:40:14,0.2439638,-0.4191173
2022-06-28 08:40:13,0.3800362,-0.6528827
2022-06-28 08:40:12,0,0
2022-06-28 08:40:11,0,0
2022-06-28 08:40:10,0,0
2022-06-28 08:40:09,0,0
2022-06-28 08:40:08,0,0
2022-06-28 08:40:07,0,0
2022-06-28 08:40:06,0,0
2022-06-28 08:40:05,0,0
2022-06-28 08:40:04,0,0
2022-06-28 08:40:03,0,0
2022-06-28 08:40:02,0,0
2022-06-28 08:40:01,0,0
2022-06-28 08:40:00,0,0
2022-06-28 08:39:59,0,0
2022-06-28 08:39:58,0,0
2022-06-28 08:39:57,0,0
2022-06-28 08:39:56,0,0
2022-06-28 08:39:55,0,0
2022-06-28 08:39:54,0,0
2022-06-28 08:39:53,0,0
2022-06-28 08:39:52,0,0
2022-06-28 08:39:51,0,0
2022-06-28 08:39:50,0,0
2022-06-28 08:39:49,0,0
2022-06-28 08:39:48,0,0
2022-06-28 08:39:47,0,0
2022-06-28 08:39:46,0,0
2022-06-28 08:39:45,0,0
2022-06-28 08:39:44,0,0
2022-06-28 08:39:43,0,0
2022-06-28 08:39:42,0.9759201,-1.0197114
2022-06-28 08:39:41,1.5200799,-1.5882886
2022-06-28 08:39:40,0,0
2022-06-28 08:39:39,0,0
2022-06-28 08:39:38,0,0
2022-06-28 08:39:37,0,0
2022-06-28 08:39:36,0,0
2022-06-28 08:39:35,0,0
2022-06-28 08:39:34,0,0
2022-06-28 08:39:33,0,0
2022-06-28 08:39:32,0,0
2022-06-28 08:39:31,0,0
2022-06-28 08:39:30,0,0
2022-06-28 08:39:29,0,0
2022-06-28 08:39:28,0.2422447,-0.416164
2022-06-28 08:39:27,0.3817553,-0.655836
2022-06-28 08:39:26,0,0
2022-06-28 08:39:25,0,0
2022-06-28 08:39:24,0,0
2022-06-28 08:39:23,0.9758782,-1.0259233
2022-06-28 08:39:22,1.5201218,-1.5980767
2022-06-28 08:39:21,0,0
2022-06-28 08:39:20,0,0
2022-06-28 08:39:19,0,0
2022-06-28 08:39:18,0,0
2022-06-28 08:39:17,0,0
2022-06-28 08:39:16,0,0
2022-06-28 08:39:15,0,0
2022-06-28 08:39:14,0,0
2022-06-28 08:39:13,0,0
2022-06-28 08:39:12,0,0
2022-06-28 08:39:11,0,0
2022-06-28 08:39:10,0,0
2022-06-28 08:39:09,0,0
2022-06-28 08:39:08,0,0
2022-06-28 08:39:07,0,0
2022-06-28 08:39:06,0,0
2022-06-28 08:39:05,0,0
2022-06-28 08:39:04,0,0
2022-06-28 08:39:03,0,0
2022-06-28 08:39:02,0,0
2022-06-28 08:39:01,0,0
2022-06-28 08:39:00,0,0
2022-06-28 08:38:59,0,0
2022-06-28 08:38:58,0,0
2022-06-28 08:38:57,0,0
2022-06-28 08:38:56,0,0
2022-06-28 08:38:55,0,0
